saqa_id;name;type;field_study;subfield_study
100782;Doctor of Engineering in Mechanical Engineering;Doctoral Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
23697;Master of Philosophy: Natural Science;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
48453;Advanced Diploma in Film and Television Production Techniques;Advanced Certificate;Culture and Arts;Film, Television and Video
73862;Doctor of Engineering: Engineering Management;Doctoral Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
83928;Bachelor of Consumer Science;National First Degree;Services;Consumer Services
48664;Further Education and Training Certificate: Mail Supervision;Further Ed and Training Cert;Services;Consumer Services
24384;Master of Philosophy in Development Finance;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
81828;Doctor of Philosophy: Literature and Language Studies;Doctoral Degree;Communication Studies and Language;Language
96898;Master of Engineering in Electrical Engineering;Master's Degree;Physical Planning and Construction;Electrical Infrastructure Construction
87214;Postgraduate Diploma: Law;Postgraduate Diploma;Law, Military Science and Security;Justice in Society
67413;National Certificate: N2 Surface Mining;National N Certificate;Manufacturing, Engineering and Technology;Fabrication and Extraction
16516;Doctor of Medicine: Anatomical Pathology: Electronmicroscopy;Doctoral Degree;Health Sciences and Social Services;Curative Health
97620;Bachelor of Education Honours in Science Education;Honours Degree;Education, Training and Development;Schooling
72787;Bachelor of Social Science: Social Work;National First Degree;Health Sciences and Social Services;Rehabilitative Health/Services
78697;Bachelor of Technology: Environmental Health;B Tech;Health Sciences and Social Services;Preventive Health
61809;National Certificate: Tyre Repair and Maintenance;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
16523;Doctor of Medicine: Diagnostic Radiology;Doctoral Degree;Health Sciences and Social Services;Curative Health
14002;Postgraduate Diploma in Engineering;Postgraduate Diploma;Manufacturing, Engineering and Technology;Engineering and Related Design
109029;Higher Certificate in Emergency Medical Care;Higher Certificate;Health Sciences and Social Services;Promotive Health and Developmental Services
99208;Master of Science in Agriculture in Plant Production;Master's Degree;Agriculture and Nature Conservation;Primary Agriculture
94179;Doctor of Philosophy in Military Science;Doctoral Degree;Law, Military Science and Security;Safety in Society
100785;Diploma in Hospitality Management;Diploma (Min 360);Services;Hospitality, Tourism, Travel, Gaming and Leisure
63429;Bachelor of Indigenous Knowledge Systems;National First Degree;Human and Social Studies;Rural and Agrarian Studies
22326;National Diploma: Interior Decorating;Advanced Certificate;Culture and Arts;Design Studies
79966;Diploma in Business Information Technology;National Diploma;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
97598;Master of Philosophy in Paediatric Oncology;Master's Degree;Health Sciences and Social Services;Curative Health
103276;Occupational Certificate: Air Conditioning and Refrigeration Compliance Verifier;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
22891;Certificate: Auxiliary Nursing;National Certificate;Health Sciences and Social Services;Curative Health
5113;Bachelor of Engineering in Industrial Engineering;National First Degree(Min 480);Manufacturing, Engineering and Technology;Engineering and Related Design
8727;Doctor of Architecture;Doctoral Degree;Physical Planning and Construction;Physical Planning, Design and Management
24379;Doctor of Philosophy: Governance and Political Transformation;Post-doctoral Degree;Human and Social Studies;Public Policy, Politics and Democratic Citizenship
9209;Bachelor of Commerce in Economics;National First Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
72961;Postgraduate Diploma in Fine Arts;Postgraduate Diploma;Culture and Arts;Visual Arts
62750;Bachelor of Science: Ecotourism;National First Degree;Services;Hospitality, Tourism, Travel, Gaming and Leisure
87098;Bachelor of Technology: Photography;B Tech;Culture and Arts;Film, Television and Video
108936;Bachelor of Science Honours in Biokinetics;Honours Degree;Culture and Arts;Sport
21563;Bachelor of Arts Honours in Linguistics;Honours Degree;Communication Studies and Language;Language
104462;Master of Commerce in Applied Finance;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
73969;Master of Commerce in Auditing;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
7199;Bachelor of Commerce Honours: Accounting Science;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
19237;Bachelor of Science Honours in Mathematics;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
18931;Bachelor of Commerce Honours in Management Accounting;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
96988;Diploma in Marketing;Diploma (Min 360);Business, Commerce and Management Studies;Marketing
99726;Bachelor of the Built Environment in Construction;National First Degree;Physical Planning and Construction;Physical Planning, Design and Management
81105;Bachelor of Science Honours in Entomology;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Life Sciences
104769;Master of Medicine in Anaethesia;Master's Degree;Health Sciences and Social Services;Curative Health
81299;Master of Laws in Business Law;Master's Degree;Law, Military Science and Security;Justice in Society
22425;National Certificate: Engineering and Related Design;National Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
21702;Doctor of Science: Computer Science;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
98917;Postgraduate Diploma in Accountancy;Postgraduate Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
63552;Diploma in Human Resource Management;National Diploma;Business, Commerce and Management Studies;Human Resources
58697;Further Education and Training Certificate: Electronic Security Installation Practices;Further Ed and Training Cert;Law, Military Science and Security;Safety in Society
102062;Bachelor of Commerce Honours in Financial Management;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
96559;Master of Medicine in Public Health Medicine;Master's Degree;Health Sciences and Social Services;Preventive Health
96640;Diploma in Theatre and Performance;Diploma (Min 360);Culture and Arts;Performing Arts
82146;Bachelor of Commerce in Business Marketing;National First Degree;Business, Commerce and Management Studies;Marketing
101839;Occupational Certificate: Internal Auditor;Occupational Certificate;Business, Commerce and Management Studies;Finance, Economics and Accounting
20485;National First Degree: ABET Practice;National First Degree;Education, Training and Development;Adult Learning
96446;Postgraduate Certificate in Foundation Phase Teaching;Advanced Diploma;Education, Training and Development;Early Childhood Development
99210;Master of Science in Agriculture in Agricultural Economics;Master's Degree;Agriculture and Nature Conservation;Secondary Agriculture
21774;Doctor of Economics: Economics;Doctoral Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
49058;National Certificate: Construction Materials Testing;National Certificate;Physical Planning and Construction;Civil Engineering Construction
16027;Further Diploma: Education: Natural Science;Further Diploma;Education, Training and Development;Higher Education and Training
67426;Master of Engineering;Master's Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
66957;National Certificate: N5 Medical Secretary;National N Certificate;Business, Commerce and Management Studies;Office Administration
96921;Master of Public Affairs;Master's Degree;Business, Commerce and Management Studies;Generic Management
86177;Master of Arts in Medical Anthropology;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
100874;Bachelor of Science Honours in Statistics;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
19189;Bachelor of Social Work Honours;Honours Degree;Health Sciences and Social Services;Preventive Health
80306;Further Education and Training Certificate: Electronics;Further Ed and Training Cert;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
109541;Doctor of Social Work;Doctoral Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
99191;Bachelor of Arts in Development Studies;National First Degree;Human and Social Studies;People/Human-Centred Development
74012;Master of Philosophy in Human Resource Management;Master's Degree;Business, Commerce and Management Studies;Human Resources
58271;National Certificate: Lift Installation and Maintenance;National Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
14656;Doctor of Medicine: Research;Doctoral Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
9001;Master of Nursing Science: General Nursing: Medical and Surgical;Master's Degree;Health Sciences and Social Services;Curative Health
88142;Postgraduate Diploma: Education;Postgraduate Diploma;Education, Training and Development;Higher Education and Training
108931;Advanced Diploma in School Leadership and Management;Advanced Diploma;Education, Training and Development;Schooling
96694;Advanced Diploma in Family History;Advanced Diploma;Human and Social Studies;Traditions, History and Legacies
21616;Bachelor of Science Honours: Physiology;Honours Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
15079;Master of Nursing Science: Advanced Primary Curative Care;Master's Degree;Health Sciences and Social Services;Curative Health
108834;Master of Philosophy in Maritime Studies;Master's Degree;Services;Transport, Operations and Logistics
9347;Master of Medicine in Obstetrics and Gynaecology;Master's Degree;Health Sciences and Social Services;Curative Health
58203;Certificate: Methods of Counselling;National Certificate;Human and Social Studies;General Social Science
97886;Master of Business Administration;Master's Degree;Business, Commerce and Management Studies;Generic Management
72830;Bachelor of Agriculture;National First Degree;Agriculture and Nature Conservation;Primary Agriculture
15208;Doctor of Philosophy: Physiotherapy;Doctoral Degree;Health Sciences and Social Services;Curative Health
15566;Doctor of Philosophy in Educational Psychology;Doctoral Degree;Education, Training and Development;Higher Education and Training
67305;National Certificate: N2 Iron and Steel;National N Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
73561;Bachelor of Agricultural Production and Management;National First Degree;Agriculture and Nature Conservation;Primary Agriculture
90675;Master of Pharmacy: Advanced Clinical Pharmacy;Master's Degree;Health Sciences and Social Services;Curative Health
74011;Master of Philosophy in Human Resource Development;Master's Degree;Business, Commerce and Management Studies;Human Resources
6527;Doctor of Veterinary Science;Doctoral Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
84826;Postgraduate Diploma in Management Practice;Postgraduate Diploma;Business, Commerce and Management Studies;Generic Management
81358;Master of Social Science: Historical Studies: Research;Master's Degree;Human and Social Studies;Traditions, History and Legacies
17470;Bachelor of Accounting Honours;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
15752;Master of Psychology;Master's Degree;Human and Social Studies;General Social Science
67269;Advanced Certificate: Fraud Examination;Advanced Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
7415;Master of Arts in Afrikaans and Netherlands;Master's Degree;Communication Studies and Language;Language
16976;Master of Accounting Science;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
49057;Further Education and Training Certificate: Theology and Ministry;Further Ed and Training Cert;Human and Social Studies;Religious and Ethical Foundations of Society
7299;Doctor of Philosophy: Medical Nuclear Science;Doctoral Degree;Health Sciences and Social Services;Curative Health
97561;Diploma in Financial Management;Diploma (Min 360);Business, Commerce and Management Studies;Finance, Economics and Accounting
48857;Diploma: Accounting;Advanced Certificate;Business, Commerce and Management Studies;Finance, Economics and Accounting
85248;Higher Certificate in Print and Publishing Design;Higher Certificate;Culture and Arts;Design Studies
9883;Higher Diploma: Business Data Processing;National Higher Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
87178;Master of Science in Construction Management;Master's Degree;Physical Planning and Construction;Building Construction
74089;National Diploma: Fine Art;National Diploma;Culture and Arts;Visual Arts
48970;National Certificate: Animal Production;National Certificate;Agriculture and Nature Conservation;Primary Agriculture
74003;Master of Nursing Science in Psychiatric Mental Health Nursing;Master's Degree;Health Sciences and Social Services;Curative Health
6411;Bachelor of Science in Agriculture in Animal Science in Pasture Science;National First Degree(Min 480);Agriculture and Nature Conservation;Primary Agriculture
100926;Bachelor of Administration Honours in Public Administration;Honours Degree;Business, Commerce and Management Studies;Human Resources
97263;Bachelor of Education in Foundation Phase;National First Degree;Education, Training and Development;Schooling
97899;Bachelor of Biokinetics;National First Degree(Min 480);Health Sciences and Social Services;Rehabilitative Health/Services
97136;Master of Arts in Fashion and Textile;Master's Degree;Culture and Arts;Design Studies
21416;Master of Medicine in Clinical Pharmacology;Master's Degree;Health Sciences and Social Services;Preventive Health
78923;National Certificate: Autotronics;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
22453;National Certificate: Business Studies: Financial Management;National Certificate;Business, Commerce and Management Studies;Generic Management
64411;Further Education and Training Certificate: Automotive Spray Painting;Further Ed and Training Cert;Manufacturing, Engineering and Technology;Manufacturing and Assembly
98830;Master of Nature Conservation;Master's Degree;Agriculture and Nature Conservation;Nature Conservation
104752;Postgraduate Diploma in Ophthalmic Nursing;Postgraduate Diploma;Health Sciences and Social Services;Promotive Health and Developmental Services
73292;Certificate: Patisserie;National Certificate;Services;Hospitality, Tourism, Travel, Gaming and Leisure
50479;Further Education and Training Certificate: Advertising;Further Ed and Training Cert;Business, Commerce and Management Studies;Marketing
108930;Postgraduate Diploma in Accounting;Postgraduate Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
19335;Master of Science in Physics;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
104524;Advanced Diploma in Applied Management;Advanced Diploma;Business, Commerce and Management Studies;Generic Management
22419;National Diploma: Engineering;Advanced Certificate;Physical Planning and Construction;Physical Planning, Design and Management
96058;Bachelor of Education in Foundation Phase Teaching;National First Degree;Education, Training and Development;Early Childhood Development
105473;Master of Arts in History of Art;Master's Degree;Culture and Arts;Cultural Studies
100678;Master of Philosophy in Nephrology;Master's Degree;Health Sciences and Social Services;Curative Health
97096;Diploma in Game Ranch Management;Diploma (Min 360);Agriculture and Nature Conservation;Nature Conservation
97840;Diploma in Fine and Applied Arts;Diploma (Min 360);Culture and Arts;Visual Arts
21699;Doctor of Science: Biochemistry;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Life Sciences
65348;National Diploma: Engineering: Mechanical;National Diploma;Manufacturing, Engineering and Technology;Engineering and Related Design
14130;Certificate: Food Service Supervision;National Certificate;Services;Hospitality, Tourism, Travel, Gaming and Leisure
78494;Postgraduate Diploma: Maternal and Child Protection;Postgraduate Diploma;Law, Military Science and Security;Justice in Society
87426;Diploma: Fashion Design;Diploma (Min 360);Culture and Arts;Design Studies
103267;Occupational Certificate: Mobile Refrigeration Fitter;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
6065;Bachelor of Occupational Therapy;National First Degree(Min 480);Health Sciences and Social Services;Rehabilitative Health/Services
83546;Advanced Certificate in Project Management;Advanced Certificate;Business, Commerce and Management Studies;Project Management
18939;Bachelor of Commerce Honours in Economics;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
109300;Advanced Diploma in Agricultural Operations and Management;Advanced Diploma;Agriculture and Nature Conservation;Primary Agriculture
101669;Occupational Certificate: Dragline Operator;Occupational Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
100748;Diploma in Mathematical Sciences;Diploma (Min 360);Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
15389;Diploma: Oral Hygiene;Advanced Certificate;Health Sciences and Social Services;Preventive Health
73630;Master of Logistics;Master's Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
87087;Bachelor of Technology: Fine Art;B Tech;Culture and Arts;Visual Arts
65651;National Certificate: Sewing Machine Mechanics;National Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
16691;Certificate: Home Health Care;National Certificate;Health Sciences and Social Services;Preventive Health
73898;Doctor of Philosophy: Energy Studies;Doctoral Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
78621;National Diploma: Emergency Medical Care;National Diploma;Health Sciences and Social Services;Curative Health
19541;Postgraduate Diploma: Mechanical Wood Processing;Postgraduate Diploma;Agriculture and Nature Conservation;Forestry and Wood Technology
100868;Master of Arts in Labour Relations Management;Master's Degree;Business, Commerce and Management Studies;Generic Management
15592;Master of Information Science;Master's Degree;Communication Studies and Language;Information Studies
100921;Bachelor of Administration in Development and Management;National First Degree;Business, Commerce and Management Studies;Human Resources
21590;Doctor of Philosophy in Development Studies;Doctoral Degree;Human and Social Studies;People/Human-Centred Development
78616;National Diploma: Biomedical Technology;National Diploma;Health Sciences and Social Services;Promotive Health and Developmental Services
99638;Bachelor of Engineering Technology in Mechanical Engineering;National First Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
96717;Bachelor of Arts in Public Relations;National First Degree;Business, Commerce and Management Studies;Public Relations
74610;Bachelor of Science: Nutrition;National First Degree(Min 480);Health Sciences and Social Services;Rehabilitative Health/Services
62396;Diploma: Information Technology;National Diploma;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
103095;Master of Nuclear Technology Leadership;Master's Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
16236;Master of Science: Ecology;Master's Degree;Agriculture and Nature Conservation;Nature Conservation
91801;Bachelor of Administration in Licensing Practice;National First Degree;Business, Commerce and Management Studies;Public Administration
16398;Bachelor of Pedagogics;National First Degree;Education, Training and Development;Higher Education and Training
21288;Master of Arts: History of Art: Research;Master's Degree;Culture and Arts;Cultural Studies
72888;Doctor of Economics;Doctoral Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
104458;Occupational Certificate: Hydro Power Plant Operator;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
96420;Bachelor of Medicine and Surgery;National First Degree(Min 480);Health Sciences and Social Services;Curative Health
22422;National Certificate: Engineering and Related Design;National Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
99199;Doctor of Philosophy in Hydrology and Water Resources;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Earth and Space Sciences
104781;Master of Philosophy in Child and Adolescent Psychiatry;Master's Degree;Health Sciences and Social Services;Curative Health
81116;Bachelor of Science Honours in Hydrology;Honours Degree;Physical, Mathematical, Computer and Life Sciences;Life Sciences
97619;Master of Philosophy in Critical Care;Master's Degree;Health Sciences and Social Services;Curative Health
19198;Master of Science in Applied Mathematics;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
96732;Higher Certificate in Computer Technical Support;Higher Certificate;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
73787;Bachelor of Engineering in Mechanical Engineering;National First Degree;Manufacturing, Engineering and Technology;Engineering and Related Design
49746;National Certificate: Measurement, Control and Instrumentation;National Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
101699;Doctor of Business Management;Doctoral Degree;Business, Commerce and Management Studies;Generic Management
99378;Advanced Diploma in Tourism Management;Advanced Diploma;Services;Hospitality, Tourism, Travel, Gaming and Leisure
81058;Bachelor of Arts Honours: State: Society and Justice;Honours Degree;Law, Military Science and Security;Justice in Society
101982;Diploma in Events Management;Diploma (Min 360);Services;Hospitality, Tourism, Travel, Gaming and Leisure
9439;Master of Medicine in Virology;Master's Degree;Health Sciences and Social Services;Curative Health
96994;Diploma in Transportation Management;Diploma (Min 360);Services;Transport, Operations and Logistics
73855;Doctor of Commerce: Logistics Management;Doctoral Degree;Business, Commerce and Management Studies;Generic Management
14454;Bachelor of Science Honours: Agriculture: Agricultural Economics;Honours Degree;Agriculture and Nature Conservation;Secondary Agriculture
71632;Higher Certificate in Photography;Higher Certificate;Culture and Arts;Film, Television and Video
101074;Bachelor of Arts Honours in Biblical Archaeology;Honours Degree;Human and Social Studies;General Social Science
21789;National Diploma: Funeral Services Practice;National Diploma;Services;Personal Care
74611;Bachelor of Medical Clinical Practice;National First Degree;Health Sciences and Social Services;Curative Health
19594;Bachelor of Economics Honours: Management Sciences;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
16965;Doctor of Philosophy: Wildlife Management;Doctoral Degree;Business, Commerce and Management Studies;Generic Management
9909;Master of Medicine in Anatomical Pathology;Master's Degree;Health Sciences and Social Services;Curative Health
63990;Higher Certificate in Information Technology in User Support Services;National Higher Certificate;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
60089;Bachelor of Clinical Medical Practice;National First Degree;Health Sciences and Social Services;Curative Health
71823;Diploma: Therapeutic Aromatherapy;National Diploma;Health Sciences and Social Services;Promotive Health and Developmental Services
90500;Diploma in Human Resource Management Practice;Diploma (Min 360);Business, Commerce and Management Studies;Human Resources
93793;Occupational Certificate: Truck Driver;Occupational Certificate;Services;Transport, Operations and Logistics
73716;Bachelor of Arts Honours in African Languages;Honours Degree;Communication Studies and Language;Language
101812;Advanced Certificate in Accountancy;Advanced Certificate;Business, Commerce and Management Studies;Finance, Economics and Accounting
19510;Bachelor of Consumer Science: Foods: Clothing and Textiles: Housing;National First Degree(Min 480);Services;Consumer Services
90537;Higher Certificate: Television and Screen Media;Higher Certificate;Culture and Arts;Film, Television and Video
21750;Doctor of Commerce: Economics;Doctoral Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
15359;Bachelor of Administration Honours: Human Resources Management;Honours Degree;Business, Commerce and Management Studies;Human Resources
83486;Master of Philosophy in Emergency Medicine;Master's Degree;Health Sciences and Social Services;Preventive Health
98961;Advanced Diploma in Credit Management;Advanced Diploma;Business, Commerce and Management Studies;Finance, Economics and Accounting
21094;Higher Diploma: Commerce: Marketing Management;National Higher Diploma;Business, Commerce and Management Studies;Marketing
101898;Postgraduate Diploma in Biotechnology;Postgraduate Diploma;Physical, Mathematical, Computer and Life Sciences;Life Sciences
74120;Doctor of Philosophy;Doctoral Degree;Human and Social Studies;General Social Science
96691;Bachelor of Science Honours in Petroleum Geology;Honours Degree;Manufacturing, Engineering and Technology;Fabrication and Extraction
81196;Bachelor of Social Science: Media and Communication;National First Degree;Communication Studies and Language;Communication Studies
22383;Master of Science in Applied Geology;Master's Degree;Physical, Mathematical, Computer and Life Sciences;Physical Sciences
15588;Doctor of Philosophy: Tertiary Didactics;Doctoral Degree;Education, Training and Development;Higher Education and Training
16567;Doctor of Philosophy in Physiotherapy;Doctoral Degree;Health Sciences and Social Services;Curative Health
90740;Master of Commerce: Tourism Management;Master's Degree;Services;Hospitality, Tourism, Travel, Gaming and Leisure
5087;Master of Dentistry: Orthodontics;Master's Degree;Health Sciences and Social Services;Curative Health
96864;Diploma in Nature Conservation;Diploma (Min 360);Agriculture and Nature Conservation;Nature Conservation
24411;Certificate: Office Technology;National Certificate;Business, Commerce and Management Studies;Office Administration
67456;Further Education and Training Certificate: Interior Decorating;Further Ed and Training Cert;Culture and Arts;Design Studies
94039;Occupational Certificate: Goldsmith;Occupational Certificate;Manufacturing, Engineering and Technology;Fabrication and Extraction
103079;Advanced Diploma in Architectural Design;Advanced Diploma;Physical Planning and Construction;Building Construction
15606;Master of Veterinary Medicine in Pig Herd Health;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
78103;Bachelor of Psychology Honours;Honours Degree;Human and Social Studies;General Social Science
15371;Bachelor of Commerce Honours: Accounting Sciences;Honours Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
3943;Master of Social Science;Master's Degree;Human and Social Studies;General Social Science
21062;Diploma: Commerce: General Management;Advanced Certificate;Business, Commerce and Management Studies;Generic Management
61593;National Diploma: Marketing Management;National Diploma;Business, Commerce and Management Studies;Marketing
57428;Further Education and Training Certificate: Youth Development;Further Ed and Training Cert;Education, Training and Development;Adult Learning
19502;Integrated Graduate Certificate: Human Ecology Education: Senior Phase and FET;Advanced Diploma;Education, Training and Development;Higher Education and Training
97363;Master of Business Administration;Master's Degree;Business, Commerce and Management Studies;Generic Management
66876;National Certificate: N4 Management Assistant;National N Certificate;Business, Commerce and Management Studies;Generic Management
102004;Occupational Certificate: Mechatronics Technician;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
22424;National Certificate: Engineering and Related Design: FET Phase;National Certificate;Manufacturing, Engineering and Technology;Engineering and Related Design
16574;Doctor of Commerce: Banking;Doctoral Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
100917;Master of Commerce in Operations Research;Master's Degree;Business, Commerce and Management Studies;Generic Management
81822;Bachelor of Accountancy;National First Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
15877;Master of Arts in Sociology;Master's Degree;Human and Social Studies;General Social Science
10417;Diploma: Midwifery;Advanced Certificate;Health Sciences and Social Services;Promotive Health and Developmental Services
16582;Bachelor of Occupational Therapy Honours;Honours Degree;Health Sciences and Social Services;Preventive Health
94679;Bachelor of Health Sciences in Diagnostic Sonography;National First Degree(Min 480);Health Sciences and Social Services;Preventive Health
23702;Doctor of Philosophy: Natural Science;Doctoral Degree;Physical, Mathematical, Computer and Life Sciences;Mathematical Sciences
24295;National Certificate: Timber Roof Erecting;National Certificate;Physical Planning and Construction;Building Construction
100848;Master of Arts in Communication;Master's Degree;Communication Studies and Language;Communication Studies
7061;Bachelor of Dietetics;National First Degree(Min 480);Health Sciences and Social Services;Preventive Health
79009;Bachelor of Commerce in Accounting;National First Degree;Business, Commerce and Management Studies;Finance, Economics and Accounting
67531;National Certificate: N3 Technical Dyer/Finisher;National N Certificate;Manufacturing, Engineering and Technology;Fabrication and Extraction
67470;National Certificate: N3 Coal Mining;National N Certificate;Manufacturing, Engineering and Technology;Fabrication and Extraction
21060;Diploma: Commerce: Cost and Management Accounting;Advanced Certificate;Business, Commerce and Management Studies;Finance, Economics and Accounting
57204;Certificate: Executive Secretarial Studies;National Certificate;Business, Commerce and Management Studies;Office Administration
93603;Occupational Certificate: Financial Markets Practitioner;Occupational Certificate;Business, Commerce and Management Studies;Finance, Economics and Accounting
50266;National Certificate: Forestry: Silviculture;National Certificate;Agriculture and Nature Conservation;Forestry and Wood Technology
96915;Master of Management Sciences in Administrative Information Management;Master's Degree;Business, Commerce and Management Studies;Office Administration
99711;Diploma in Therapeutic Massage;Diploma (Min 240);Health Sciences and Social Services;Promotive Health and Developmental Services
65299;Bachelor of Technology: Public Management;B Tech;Business, Commerce and Management Studies;Public Administration
101896;Advanced Diploma in Marketing;Advanced Diploma;Business, Commerce and Management Studies;Marketing
21577;Master of Arts in History;Master's Degree;Human and Social Studies;Traditions, History and Legacies
81289;Master of Business Administration: Strategic Marketing Management;Master's Degree;Business, Commerce and Management Studies;Generic Management
73299;Diploma: Food and Beverage Service;Advanced Certificate;Services;Hospitality, Tourism, Travel, Gaming and Leisure
14477;Bachelor of Institutional Agriculture Honours: Pasture Science;Honours Degree;Agriculture and Nature Conservation;Primary Agriculture
96443;Diploma in Small Business Management;Diploma (Min 360);Business, Commerce and Management Studies;Finance, Economics and Accounting
15860;Bachelor of Arts Honours in Sociology;Honours Degree;Human and Social Studies;People/Human-Centred Development
96714;Higher Certificate in Desktop Publishing and Computer Art;Higher Certificate;Physical, Mathematical, Computer and Life Sciences;Information Technology and Computer Sciences
101505;Advanced Diploma in Environmental Management;Advanced Diploma;Human and Social Studies;Environmental Relations
105478;Master of Agriculture in Plant Quarantine;Master's Degree;Agriculture and Nature Conservation;Primary Agriculture
64929;National Certificate: Vessel Safety Practices;National Certificate;Law, Military Science and Security;Sovereignty of the State
73996;Master of Nursing Science in Community Nursing Science;Master's Degree;Health Sciences and Social Services;Curative Health
15523;Master of Veterinary Medicine in Bovine Medicine;Master's Degree;Health Sciences and Social Services;Curative Health
49529;Further Education and Training Certificate: Long-Term Risk Assessment;Further Ed and Training Cert;Business, Commerce and Management Studies;Finance, Economics and Accounting
15392;Master of Science: Odontology: Oral Surgery;Master's Degree;Health Sciences and Social Services;Curative Health
102856;Occupational Certificate: Rigger;Occupational Certificate;Manufacturing, Engineering and Technology;Manufacturing and Assembly
48393;National Certificate: Metallised Paper Production;National Certificate;Agriculture and Nature Conservation;Secondary Agriculture
73669;Certificate: Christian Ministry;National Certificate;Human and Social Studies;Religious and Ethical Foundations of Society
104713;Master of Philosophy in Neuropsychiatry;Master's Degree;Health Sciences and Social Services;Promotive Health and Developmental Services
99446;Occupational Certificate: Dispatching and Receiving Clerk;Occupational Certificate;Services;Wholesale and Retail
16931;Bachelor of Science Honours: Agriculture: Grassland Science;Honours Degree;Agriculture and Nature Conservation;Horticulture
81205;Certificate: Community and Development Studies;National Certificate;Human and Social Studies;People/Human-Centred Development
97069;Master of Philosophy in Poverty, Land and Agrarian Studies;Master's Degree;Human and Social Studies;Rural and Agrarian Studies
49052;National Certificate: Plant Production;National Certificate;Agriculture and Nature Conservation;Primary Agriculture
15950;Bachelor of Theological Studies;National First Degree;Human and Social Studies;Religious and Ethical Foundations of Society
9817;Doctor of Philosophy: Family Medicine;Doctoral Degree;Health Sciences and Social Services;Curative Health
